Area,Type,ConstructionY,PriceK,Price,Psqm,Surface,Floor,Rooms,Condition,Detailed Condition,Condition Score,Perks Score,Ad Views,Agent
City Center,House,1950,500,500000,2500.00,200,,,0,,0,0,39,1
City Center,House,1955,1680,1680000,538.63,3119,,,0,0.5,0.5,0,42,1
North Suburbs,House,1957,450,450000,3913.04,115,,,,,0,2.5,12,0
City Center,House,1965,450,450000,2500.00,180,,,,,0,0,240,1
City Center,House,2003,2300,2300000,1916.67,1200,,,0.5,,0.5,2,204,1
City Center,Flat,1985,260,260000,2476.19,105,5,,0,0.5,0.5,1,1106,1
North Suburbs,House,,680,680000,5666.67,120,,,0,0.5,0.5,0,137,1
City Center,House,,490,490000,1441.18,340,,,0,0.5,0.5,0,808,1
City Center,Flat,2009,265,265000,3154.76,84,2,,0,1,1,4,209,1
City Center,Flat,2010,230,230000,3770.49,61,2,,,,0,2,638,1
City Center,Maisonette,2010,180,180000,2250.00,80,3,,,,0,2.2,1799,1
City Center,Flat,2010,130,130000,1733.33,75,3,,2,,2,4.2,2114,1
City Center,Maisonette,2011,230,230000,3382.35,68,3,,,,0,2,278,1
City Center,Maisonette,2011,230,230000,3382.35,68,3,,,,0,2,276,1
City Center,Maisonette,2011,220,220000,3235.29,68,1,,,,0,2,1344,1
City Center,Maisonette,2011,200,200000,2941.18,68,1,,,,0,1,531,1
City Center,Flat,2012,240,240000,2857.14,84,3,,2,,2,0.5,37,1
City Center,Flat,2013,200,200000,3636.36,55,4,,,,0,2.2,381,1
City Center,Flat,2013,200,200000,3571.43,56,4,,,,0,3,58,1
City Center,Flat,2012,230,230000,2738.10,84,2,,2,,2,0.5,21,1
City Center,Maisonette,2013,260,260000,3095.24,84,3,,,,0,2.2,353,1
City Center,Flat,2012,220,220000,2619.05,84,1,,0,1,1,0.5,27,1
City Center,Maisonette,2013,210,210000,2500.00,84,2,,,,0,4.2,1491,1
City Center,Flat,2013,165,165000,2062.50,80,1,,0,,0,3,22,1
City Center,Flat,2013,210,210000,1250.00,168,"3, 4",,,,0,2.2,55,1
City Center,Flat,2013,,0,0.00,174,3,,2,,2,3,1178,1
City Center,Flat,2013,,0,0.00,184,3,,2,,2,3,1562,1
City Center,Flat,2013,,0,0.00,91,1,,2,,2,3,3190,1
City Center,Flat,,250,250000,3125.00,80,3,,2,,2,2,962,1
City Center,Flat,,160,160000,3076.92,52,2,,2,,2,0,717,1
City Center,Flat,,230,230000,2987.01,77,3,,2,,2,3,1418,1
City Center,Flat,,150,150000,2884.62,52,1,,2,,2,0,941,1
City Center,Flat,,180,180000,2686.57,67,"2, 1",,2,,2,3,2085,1
City Center,Flat,,200,200000,2500.00,80,2,,2,,2,2,798,1
City Center,Flat,,95,95000,2317.07,41,,,0,,0,0,1513,1
City Center,Flat,,150,150000,2142.86,70,4,,0,,0,0,85,1
North Suburbs,Flat,,150,150000,1200.00,125,4,,0,1,1,3,264,1
